,ID,Date,Likes,Content
28,1517103773197340674,2022-04-21 11:31:40+00:00,216034,❤️ https://t.co/C4XJifTPSD
29,1515692635565924357,2022-04-17 14:04:19+00:00,5418,@AnjanaVJ @prashanth_neel Thank you 😊 Loved being on your show!
30,1515692517781553157,2022-04-17 14:03:51+00:00,7118,@sooriofficial @prashanth_neel @hombalefilms Thank you Brother 😊
31,1515595605275385856,2022-04-17 07:38:45+00:00,8801,@VishalKOfficial @prashanth_neel Thank you Brother 😊 Will see you soon!
32,1515564787836411911,2022-04-17 05:36:17+00:00,4722,@kriti_official @hombalefilms Thank you 😊
33,1515564696463556608,2022-04-17 05:35:56+00:00,2925,@RavishankarGow5 @prashanth_neel @VKiragandur @Karthik1423 @yogigraj Thank you doctreee 😊
34,1515564455450460166,2022-04-17 05:34:58+00:00,9032,@ramsayz @prashanth_neel @hombalefilms Thank you Brother 😊
35,1515563671132405760,2022-04-17 05:31:51+00:00,18540,@RanaDaggubati @prashanth_neel Thank you Brother! 😊 let’s catch up soon!!
36,1515563450021294082,2022-04-17 05:30:58+00:00,6148,@Karthi_Offl @prashanth_neel @VKiragandur @prabhu_sr @DreamWarriorpic @SrinidhiShetty7 Thank you Brother! 😊
37,1515320554391171076,2022-04-16 13:25:48+00:00,3534,@rohitjswl01 Thank you 😊
38,1515320392889483266,2022-04-16 13:25:09+00:00,1809,@sekartweets Thank you 😊
39,1515320347796537344,2022-04-16 13:24:58+00:00,2473,@LMKMovieManiac Thank you 😊
40,1515274684954075142,2022-04-16 10:23:31+00:00,5283,"@JustNiharikaNm Thank you Niharika. Stay Hydrated, stay away from violence 😊"
41,1515268292935499779,2022-04-16 09:58:08+00:00,1592,@SachinSanghe @prashanth_neel @hombalefilms Thank you Sachin 😊
42,1515268228330639363,2022-04-16 09:57:52+00:00,1417,@amrutha_iyengar @prashanth_neel @SrinidhiShetty7 Thank you 😊
43,1515268171875323904,2022-04-16 09:57:39+00:00,2725,@IamJagguBhai @prashanth_neel Thank you Sir 😊
44,1515268096784625666,2022-04-16 09:57:21+00:00,1544,@MattLaemon @TandonRaveena Thank you 😊
45,1515268035086479363,2022-04-16 09:57:06+00:00,977,@kantuagasthya @prashanth_neel @TandonRaveena Thank you 😊
46,1515267942392377347,2022-04-16 09:56:44+00:00,972,@aadhavkk @prashanth_neel @hombalefilms Thank you 😊
47,1515267860456632325,2022-04-16 09:56:24+00:00,1107,@nikitindheer @prashanth_neel Thank you 😊
48,1515267405555003392,2022-04-16 09:54:36+00:00,931,@lordmgsrinivas @prashanth_neel @hombalefilms Thank you 😊
49,1515267326416855040,2022-04-16 09:54:17+00:00,1002,@sidhuwrites Thank you 😊
50,1515267165271732229,2022-04-16 09:53:39+00:00,806,@JournoAakash @excelmovies @KGFTheFilm Thank you 😊
51,1515267111601393664,2022-04-16 09:53:26+00:00,946,@DabbooRatnani @Dabboo @ManishaDRatnani @MyrahRatnani @ShivaanRatnani @KiaraRatnani @HkAalim @quachiworld @weareexceed Thanks brother 😊
52,1515267008241176577,2022-04-16 09:53:01+00:00,1667,@AlwaysJani @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @RaviBasrur @bhuvangowda84 Thank you master 😊
53,1515266826996912129,2022-04-16 09:52:18+00:00,878,@Abhishekapoor @prashanth_neel Thank you 😊
54,1515266741244293123,2022-04-16 09:51:58+00:00,679,@Prachura1 @excelmovies @prashanth_neel @VKiragandur @duttsanjay @TandonRaveena @SrinidhiShetty7 @AAFilmsIndia Thank you all 😊
55,1515266568116072449,2022-04-16 09:51:16+00:00,710,@RaviKapoor @sidkannan @YashTeluguFc @Yashfanscompany @AKYFOfficial @YCompany8 @Team_YFT @YashFClub @KGFTheFilm @thekgfchapter2 @KGFChapter2 Thank you 😊
56,1515266502672334848,2022-04-16 09:51:01+00:00,776,@PranitaRavi @prashanth_neel @hombalefilms Thank you 😊
57,1515266451485036544,2022-04-16 09:50:48+00:00,657,@sunayanasuresh @prashanth_neel @VKiragandur @Karthik1423 @hombalefilms @SrinidhiShetty7 @bhuvangowda84 Thank you 😊
58,1515266365480861702,2022-04-16 09:50:28+00:00,1104,@Shobu_ @hombalefilms @prashanth_neel @KGFTheFilm Thank you Shobu garu 😊
59,1515266048538206209,2022-04-16 09:49:12+00:00,13739,@ishehnaaz_gill @SrinidhiShetty7 @duttsanjay @TandonRaveena @prashanth_neel Thank you 😊
60,1515265707314868224,2022-04-16 09:47:51+00:00,1467,@_garrywalia Thank you 😊
61,1515265628684251140,2022-04-16 09:47:32+00:00,1107,@aditiraval @prakashraaj Thank you 😊
62,1515265161392627716,2022-04-16 09:45:41+00:00,3369,@behindwoods Thank you 😊
63,1515265116056420352,2022-04-16 09:45:30+00:00,7220,"@prabhu_sr @hombalefilms @Karthik1423 @prashanth_neel Thank you sir, Kudos to your passion for Cinema. Let’s continue to work together towards creating great Indian Cinema 😊"
64,1515264595035754498,2022-04-16 09:43:26+00:00,871,@RSB_85 @hombalefilms Thank you 😊
65,1515264451464740868,2022-04-16 09:42:52+00:00,1198,@AlyGoni Thank you 😊
66,1515264247453798400,2022-04-16 09:42:03+00:00,558,@pramitheus @KGFTheFilm @highonfilms__ @excelmovies @hombalefilms Thank you 😊
67,1515264170907758602,2022-04-16 09:41:45+00:00,598,@saminaUFshaikh @TandonRaveena @SrinidhiShetty7 @duttsanjay Thank you 😊
68,1515264067677700104,2022-04-16 09:41:20+00:00,648,@Dhananjayang @prashanth_neel @hombalefilms @VKiragandur @Karthik1423 @yogigraj @KRG_Connects Thank you 😊
69,1515264001726320642,2022-04-16 09:41:04+00:00,539,@ISushmaPandey @hombalefilms @TandonRaveena @duttsanjay Thank you 😊
70,1515263916275757062,2022-04-16 09:40:44+00:00,1038,@megopichand @prashanth_neel Thank you 😊
71,1515263819282407425,2022-04-16 09:40:21+00:00,6667,@rameshlaus Thank you 😊
72,1515263733374676993,2022-04-16 09:40:00+00:00,775,@iFaridoon @prashanth_neel @duttsanjay @TandonRaveena Thank you Faridoon 😊
73,1515263649568370690,2022-04-16 09:39:40+00:00,539,@pudiharicharan Thank you 😊
74,1515263553434894337,2022-04-16 09:39:18+00:00,475,@YatiDivyaman @hombalefilms @excelmovies @TandonRaveena @duttsanjay Thank you 😊
75,1515263482341429249,2022-04-16 09:39:01+00:00,1653,@SRIMURALIII @prashanth_neel @VKiragandur @RaviBasrur @bhuvangowda84 @SrinidhiShetty7 Thank you Chinna 😊
76,1515263334697746434,2022-04-16 09:38:25+00:00,1150,@priyankauppi @hombalefilms Thank you ma’am 😊
77,1515263228162441218,2022-04-16 09:38:00+00:00,690,@dirbobby @prashanth_neel @hombalefilms Thank you 😊
78,1515263153654796291,2022-04-16 09:37:42+00:00,528,@JournoAakash Thank you 😊
79,1515263085048565769,2022-04-16 09:37:26+00:00,882,@Atharvaamurali @prashanth__neel @hombalefilms Thank you 😊
80,1515263027343364099,2022-04-16 09:37:12+00:00,524,@amitbhatia1509 @duttsanjay @TandonRaveena @SrinidhiShetty7 Thank you 😊
81,1515262763039277058,2022-04-16 09:36:09+00:00,4446,@ActorKartikeya @prashanth_neel Thank you Kartikeya 😊
82,1515262478837452802,2022-04-16 09:35:01+00:00,1289,@khushsundar @prashanth_neel Thank you so much Ma’am 😊
83,1515262259022360579,2022-04-16 09:34:09+00:00,655,@NiraniMurugesh @hombalefilms @prashanth__neel Thank you Sir 😊
84,1515261873158955009,2022-04-16 09:32:37+00:00,591,@sidkannan @duttsanjay @sanjayfanclub @YashTeluguFc @Yashfanscompany @KGFChapter2 @KGFTheFilm @thekgfchapter2 @KGF2HindiDub @bollywoodm435 Thank you Sir 😊
85,1515261526843699201,2022-04-16 09:31:14+00:00,1743,@Dhananjayaka @prashanth_neel @hombalefilms @VKiragandur @Karthik1423 @yogigraj @KRG_Connects Thank you Dhananjaya 😊
86,1515261025011990528,2022-04-16 09:29:15+00:00,1777,@sri50 @prashanth_neel Thank you Sir 😊
87,1515260836641529865,2022-04-16 09:28:30+00:00,653,@OYERJALOK Thank you Alok 😊
88,1515260613609414663,2022-04-16 09:27:37+00:00,627,@Ramkamal @TandonRaveena @duttsanjay Thank you 😊
89,1515260525147353089,2022-04-16 09:27:16+00:00,7522,@ActorMadhavan Thank you sir for being so encouraging 😊
90,1515260363909976068,2022-04-16 09:26:37+00:00,609,@VishweshwarBhat Thank you 😊
91,1515260230954729474,2022-04-16 09:26:05+00:00,616,@asjadnazir Thank you 😊
92,1515260134343151619,2022-04-16 09:25:42+00:00,884,@SumitkadeI Thank you 😊
93,1515259999286542336,2022-04-16 09:25:10+00:00,599,@madurimadhu1 @prashanth_neel @hombalefilms Thank you 😊
