,ID,Date,Likes,Content
157,1514864059199332357,2022-04-15 07:11:51+00:00,34703,"‘KGF2’ CREATES HISTORY, BIGGEST DAY 1 TOTAL… #KGF2 has demolished *opening day* records of #War and #ThugsOfHindostan… #KGFChapter2 is now BIGGEST OPENER in #India [#Hindi version]… *Day 1* biz…
⭐️ #KGF2: ₹ 53.95 cr
⭐️ #War: ₹ 51.60 cr
⭐️ #TOH: ₹ 50.75 cr
Nett. #India biz. https://t.co/XES04m8HTe"
214,1514309948947185675,2022-04-13 18:30:01+00:00,34580,"ROCKY BHAI HAS BEEN UNLEASHED 🔥

Watch #KGF2InCinemas near you.

#KGFChapter2 @Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @hombalegroup @ChaluveG @AAFilmsIndia @VaaraahiCC @DreamWarriorpic @PrithvirajProd #KGF2 https://t.co/eYHBuvpNfe"
225,1514116161654337537,2022-04-13 05:39:58+00:00,33722,"The ones who change their destiny, change the world!
#Sulthan out now!
Hindi: https://t.co/Q9iagR3MhQ

#KGFChapter2 @prashanth_neel
@VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @RaviBasrur @excelmovies @AAFilmsIndia @FarOutAkhtar @ritesh_sid @Mrtmusicoff https://t.co/c4O9avjm1a"
279,1505780709033590784,2022-03-21 05:37:51+00:00,33348,"Here comes #Toofan 🌪️

Hindi - https://t.co/OAPilA9TyM

#KGFChapter2 @prashanth_neel
@VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @FarOutAkhtar @ritesh_sid @VaaraahiCC @excelmovies @AAFilmsIndia @DreamWarriorpic @PrithvirajProd @Mrtmusicoff https://t.co/Fm24wpGKxj"
100,1516040096813764614,2022-04-18 13:05:00+00:00,32768,"𝐓𝐡𝐞 𝐖𝐨𝐫𝐥𝐝 𝐢𝐬 𝐑𝐎𝐂𝐊𝐘 𝐁𝐇𝐀𝐈'𝐬 𝐓𝐞𝐫𝐫𝐢𝐭𝐨𝐫𝐲!

#KGFChapter2 
@Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @excelmovies @AAFilmsIndia @VaaraahiCC @DreamWarriorpic @PrithvirajProd 
#KGF2BoxOfficeMonster https://t.co/SSl8A2yvkH"
88,1516741768963715076,2022-04-20 11:33:12+00:00,32314,"Overwhelmed and grateful for the love ❤️ 
#Adheera #KGFChapter2  @RCBTweets https://t.co/2gK4WDVr7h"
263,1508069190044844039,2022-03-27 13:11:28+00:00,31013,"The world is my territory!

Kannada: https://t.co/GmWRXvSJqC
Telugu: https://t.co/1aZmLGmTWx
Tamil: https://t.co/rJqUexWkIu
Malayalam: https://t.co/6Hza1xl4xi

#KGFChapter2  @prashanth_neel 
@VKiragandur https://t.co/dccCE5PZS2"
44,1523913348122767360,2022-05-10 06:30:29+00:00,30674,"#Mehabooba full video song tomorrow at 11 AM ♥️

#KGFChapter2 @Thenameisyash @prashanth_neel @VKiragandur @hombalefilms @duttsanjay @TandonRaveena @SrinidhiShetty7 @RaviBasrur @bhuvangowda84 @LahariMusic @Mrtmusicoff https://t.co/uPbVR1rsB0"
81,1516998305795903488,2022-04-21 04:32:35+00:00,30485,"Saw #KGF2 #KGFChapter2 What a masterpiece movie 👏👌💪😍
@prashanth_neel You are next level director 🙏
Mind blowing Direction extraordinary script, Dialogues, music, Art, uncompromised Production @hombalefilms and the crown jewel is…. @TheNameIsYash 🥳😍👌"
187,1514516486148472833,2022-04-14 08:10:43+00:00,30183,"All the very best to the entire team of #KGFChapter2 
@prashanth_neel Sir big fan of your work ✨
Congratulations @anbariv Masters 🔥and @hombalefilms Congratulations for another epic milestone 🔥"
271,1507959350026899457,2022-03-27 05:55:00+00:00,29731,"We are Elated to have the Mega Powerstar @AlwaysRamCharan to launch our #KGFChapter2 Telugu trailer on his birthday. 🤩

#HBDRamCharan #KGFChapter2TrailerDay

#KGFChapter2Trailer at 6:40 PM today on  https://t.co/QxtFZcv8dy (South) &amp; https://t.co/4hTQltJuOv (Hindi) YT Channels. https://t.co/QiXozlMvxC"
67,1518193647375638528,2022-04-24 11:42:26+00:00,28774,"It’s just the beginning 🎉
#KGFChapter2

@TheNameIsYash @prashanth_neel @VKiragandur https://t.co/6LjSWFUq5u"
